答卷序号,映射后_X坐标,映射后_Y坐标
1,296.1286267300225,486.08229892892103
1,244.06205499727133,459.4261728586254
1,274.97658196359237,486.08229892892103
1,261.95993903040454,247.74517171215976
1,250.57037646386522,520.5784620787155
2,296.94216691334674,471.9702321858233
2,257.8922381137834,456.2901580268259
2,129.3528891485538,428.0660245406305
2,322.9754527797224,464.1301951063246
2,367.72016286255547,420.2259874611318
3,209.89336729765336,277.5373126142549
3,290.43384544675285,461.778183982475
3,480.8022483446245,118.38455990043077
3,260.33285866375604,466.48220623017426
3,411.6513327620642,297.9214090209516
4,278.23074269688925,501.76237308791855
4,135.04767043182346,432.7700467883297
4,226.16417096413807,296.3534016050519
4,337.6191760795586,279.8893237381045
4,345.75457791280104,175.61683058077145
4,263.58701939705304,284.59334598580375
4,305.8911089299134,347.3136426217936
4,423.85443551192776,293.2173867732524
4,231.0454120640835,446.09810982347756
5,261.1463988470803,533.9065251138633
5,162.70803666484753,499.41036196406895
5,90.30296034899038,431.2020393724299
5,293.68800618004985,504.11438421176814
5,383.9909665290401,317.52150171969845
5,265.2140997637015,273.61729407450554
5,373.41494414582513,237.5531235088114
5,207.4527467476806,58.01627438829056
6,314.84005094648,192.08090844771874
6,190.36840289787162,285.3773496937536
6,231.0454120640835,246.17716429626
6,313.2129705798315,470.4022247699235
6,423.04089532860354,297.9214090209516
7,273.34950159694387,457.85816544272564
7,190.36840289787162,413.9539577975328
7,439.31169899508836,286.16135340170354
7,223.72355041416537,283.025338569904
7,141.55599189841735,431.98604308037983
7,323.7889929630466,471.18622847787344
7,336.8056358962344,268.12926811885643
7,505.20845384435165,113.68053765273149
8,327.85669387966783,130.92861922762867
8,270.90888104697115,269.69727553475616
8,218.0287691308957,468.8342173540239
8,310.77235002985884,194.4329195715684
8,388.0586674456614,329.28155733894647
9,191.18194308119587,425.7140134167808
9,135.86121061514768,435.9060616201292
9,254.63807738048638,471.18622847787344
9,301.0098678299679,477.45825814147247
9,427.10859624522476,289.297368233503
10,409.2107122120916,259.5052273314078
10,263.58701939705304,283.025338569904
10,223.72355041416537,289.297368233503
10,331.1108546129647,275.9693051983552
10,426.29505606190054,291.64937935735264
11,88.6758799823419,465.69820252222434
11,304.2640285632649,465.69820252222434
11,198.503804731114,436.6900653280791
11,362.0253815792858,324.5775350912473
11,290.43384544675285,266.5612607029567
11,213.96106821427452,294.00139048120224
11,318.90775186310117,348.8816500376933
12,541.0042219106181,66.64031517573915
12,436.87107844511564,301.841427560701
12,272.5359614136196,259.5052273314078
12,194.4361038144928,429.6340319565301
12,331.1108546129647,273.61729407450554
13,152.9455544649567,495.4903434243195
13,148.06431336501126,520.5784620787155
13,174.09759923138685,432.7700467883297
13,270.0953408636469,279.10532003015464
13,349.8222788294222,313.60148317994907
14,439.31169899508836,285.3773496937536
14,401.88885056217345,246.9611680042099
14,332.7379349796132,279.8893237381045
14,208.26628693100486,291.64937935735264
14,268.4682604969985,286.9453571096534
15,239.99435408065014,242.25714575651065
15,339.24625644620716,126.22459697992947
